笔记标题,账号昵称,发布时间,笔记阅读数,笔记商品点击率,笔记支付转化率,笔记成交金额（元）,笔记链接,内部 noteId
原来这是焦虑躯体化，我还以为是玩手机上瘾,心理扫码站,2025-10-13,3万-5万,0-5%,25%-50%,￥0-1000,,
25下教资面试，无非就这22页，抓紧背,梦恬恬吖,2025-10-09,3万-5万,5%-15%,5%-15%,￥1000-5000,,
全网爆火的X压抑测试和X压抑指数计算,xiaoxiao6今天也不想上班,2025-10-11,3万-5万,5%-15%,5%-15%,￥0-1000,,
细节越多，角色越假,OC资料局,2025-10-27,3万-5万,0-5%,5%-15%,￥0-1000,,
-,身心疗愈心理空间,2025-11-08,3万-5万,0-5%,25%-50%,￥0-1000,,
原来每一题都会令我沉思,sweety心理研究院,2025-11-12,3万-5万,0-5%,15%-25%,￥0-1000,,
我去😳，发现了新大陆......,知栀dpz,2025-10-18,3万-5万,5%-15%,5%-15%,￥1000-5000,,
窒息死亡❗️❗️胆小勿入❗️❗️法医现场,法医书籍,2025-11-01,3万-5万,5%-15%,5%-15%,￥1000-5000,,
第三届全国大学生职业规划大赛2000字模板,大猫素材基地,2025-10-28,3万-5万,15%-25%,15%-25%,5000-1万,,
哈哈哈哈笑不活了，这到底是哪一版动物塑！？,心理治愈bot,2025-11-09,3万-5万,0-5%,25%-50%,￥0-1000,,
原来我早就躯体化了，我以为是装的😂,心安小栈,2025-11-12,3万-5万,0-5%,25%-50%,￥0-1000,,
给总裁当三年舔🐶后,青菜大厨,2025-10-30,3万-5万,5%-15%,15%-25%,￥0-1000,,
救命，我居然把常识当爽文刷了一周嘻嘻嘻嘻,岸口船夫,2025-10-29,3万-5万,5%-15%,5%-15%,￥1000-5000,,
怎么判断自己是不是真的抑郁症/焦虑症？,心安小栈,2025-11-05,3万-5万,0-5%,25%-50%,￥0-1000,,
3分钟测的焦虑抑郁状态，专业，高效！,Lullaby心理疗愈,2025-10-05,3万-5万,0-5%,25%-50%,￥0-1000,,
国外最近很火的恋爱人格测试,阿喵的测试小岛,2025-10-25,3万-5万,5%-15%,25%-50%,￥0-1000,,
✨直接抄✨「成长赛道」大学生职业规划PPT模版,素材菌｜简历｜PPT,2025-10-22,3万-5万,5%-15%,15%-25%,￥1000-5000,,
3分钟测试目前的抑郁状态，真的很严重了！,Lullaby心理疗愈,2025-10-05,3万-5万,0-5%,15%-25%,￥0-1000,,
日常调戏男朋友 有点羞耻但好玩！！,今天吃什么,2025-09-18,3万-5万,5%-15%,5%-15%,￥0-1000,,
被偷走睡眠后我揭穿真相🕊已完结,七月,2025-11-09,3万-5万,0-5%,15%-25%,￥0-1000,,
麦当劳套餐！拼单快乐超顶饱🍟✨,心沁风阳,2025-11-01,3万-5万,25%-50%,0-5%,￥0-1000,,
会有人得了焦虑症，自己不知道吗？,身心疗愈心理研究院,2025-10-07,3万-5万,5%-15%,25%-50%,￥0-1000,,
重逢后他恨意滔天却控制不住给你当狗的本能,肯定发大财（无副作用版）,2025-09-17,3万-5万,0-5%,15%-25%,￥0-1000,,
选择娇气大小姐人设的你，却被系统投放到了,美味小小拉克丝,2025-10-30,3万-5万,0-5%,15%-25%,￥0-1000,,
当你不再粘着他，自卑聋哑哥哥红着眼哭了,华华正在努力中,2025-10-08,3万-5万,5%-15%,15%-25%,￥0-1000,,
摆烂别太久，天赋真的会被收回的,西西的奇思妙想,2025-11-12,3万-5万,0-5%,25%-50%,￥0-1000,,
很有可能是ADHD🍂🍂,知了,2025-11-09,3万-5万,0-5%,25%-50%,￥0-1000,,
恶劣却实在漂亮的少爷发现你的目光不再停留,年彻,2025-10-05,3万-5万,5%-15%,15%-25%,￥1000-5000,,
国考申论冲刺：一个月高效率积累大作文素材,是虫虫呀（带弟弟考公版）,2025-10-15,3万-5万,0-5%,5%-15%,￥0-1000,,
花生十三套卷打印出来了 开刷,我自己也可以点燃火炬（自动发货）,2025-10-01,3万-5万,5%-15%,5%-15%,￥1000-5000,,
给他一直想要的自由后，他反而慌了,荔枝炒香饭,2025-10-10,3万-5万,5%-15%,15%-25%,￥1000-5000,,
