排名,笔记标题,账号昵称,发布时间,笔记阅读数,笔记商品点击率,笔记支付转化率,笔记成交金额（元）,笔记链接
1,5分钟测试你的抑郁焦虑状态！,Lullaby心理疗愈,2025-10-19,10万以上,0-5%,15%-25%,￥1000-5000,
2,女生有没有抑郁，看她房间就知道了,身心疗愈灯塔,2025-11-13,10万以上,0-5%,0-5%,￥0-1000,
3,第一次感觉自己原来那么冷,元宝家的,2025-11-02,10万以上,0-5%,25%-50%,￥1000-5000,
4,🔥压力测试｜测测你是不是心理压力大？,身心研究站,2025-11-10,10万以上,0-5%,25%-50%,￥0-1000,
5,3分钟测试你的动物塑!,菜菜的社交心法,2025-11-08,10万以上,0-5%,25%-50%,￥1000-5000,
6,🔥心理压力测试 | 看看你压力大不大?,身心疗愈心理 研究站,2025-11-08,10万以上,0-5%,25%-50%,￥0-1000,
7,这里的每一题 好像都会让我停下来深思,菜菜的社交心法,2025-11-10,10万以上,0-5%,25%-50%,￥1000-5000,
8,🔥心理压力测试｜你压力是不是有点大？,心理研究站,2025-11-14,10万以上,0-5%,15%-25%,￥0-1000,
9,最容易被cue的16mbti刻板表情,寻己,2025-10-27,10万以上,0-5%,25%-50%,￥0-1000,
10,我珍惜你的方式错了吗,元宝家的,2025-11-02,10万以上,0-5%,25%-50%,￥0-1000,
11,原来抑郁早就开始了，以为只是不开心,心理扫码站,2025-10-27,10万以上,0-5%,25%-50%,￥0-1000,
12,压抑和开放这一块,小暖心灵疗愈室,2025-11-10,10万以上,0-5%,25%-50%,￥0-1000,
13,怎么选都是痛,元宝家的,2025-11-09,10万以上,0-5%,25%-50%,￥0-1000,
14,我实在是没忍住｜动物塑,心理疗愈研究所测试,2025-11-11,10万以上,0-5%,25%-50%,￥0-1000,
15,ENFP越想活得热烈，越被现实浇灭,心晴,2025-11-09,10万以上,0-5%,50%-70%,￥1000-5000,
16,你们都是多大发现自己是弯的？,小栗副业笔记,2025-10-25,10万以上,0-5%,25%-50%,￥0-1000,
17,和你们占有欲低的人没什么好讲的,元宝家的,2025-11-08,10万以上,0-5%,25%-50%,￥1000-5000,
18,你最不能容忍的背叛是什么？,拾夏日记,2025-11-11,10万以上,0-5%,25%-50%,￥0-1000,
19,我把天赋当废柴用了20年,西西的奇思妙想,2025-11-09,10万以上,0-5%,15%-25%,￥1000-5000,
20,如果世界是一片漆黑的森林，你选择成为？,小西情绪站,2025-11-07,10万以上,0-5%,25%-50%,￥0-1000,
21,🔥心理压力测试 | 最近压力是不是有些大?,身心疗愈心理 研究站,2025-11-10,10万以上,0-5%,15%-25%,￥0-1000,
22,一定要在新手保护期内完成社会化,野生小薯条,2025-11-08,10万以上,0-5%,15%-25%,1万-5万,
23,顶级天赋是直觉涌现,西西的奇思妙想,2025-11-02,10万以上,0-5%,15%-25%,￥0-1000,
24,清贫正义的卧底警察男友将你亲手送进监狱后,荔枝炒香饭,2025-10-31,10万以上,0-5%,15%-25%,5000-1万,
25,想不到我还挺有天赋的？,心理交流站,2025-10-23,10万以上,0-5%,50%-70%,￥0-1000,
26,测测自己的动物原型🧐,心理治愈bot,2025-11-06,10万以上,5%-15%,15%-25%,￥1000-5000,
27,娇纵虚荣的你x溺爱成瘾的皇帝（伪骨）,哈哈呼哈哈,2025-11-08,10万以上,5%-15%,25%-50%,￥1000-5000,
28,原来这是焦虑躯体化，我还以为是玩手机上瘾,心安小栈,2025-10-28,10万以上,0-5%,25%-50%,￥0-1000,
29,冬天到了，是时候重温《鬼怪》了！,耀西影视,2025-10-15,10万以上,0-5%,0-5%,￥0-1000,
30,-,元宝家的,2025-11-08,1 0万以上,0-5%,25%-50%,￥0-1000,
31,赛道选对了，不卷人生照样能开挂,为你而测,2025-11-08,10万以上,0-5%,15%-25%,￥1000-5000,
32,抑郁最不想见到的一种，就是这个了…,心灵宝藏,2025-10-31,10万以上,0-5%,15%-25%,￥0-1000,
33,摆烂太久 天赋真的会被收走的,心理交流站,2025-11-08,10万以上,0-5%,25%-50%,￥0-1000,
34,人在不擅长的领域里会毫无魅力,为你而测,2025-11-11,10万以上,0-5%,15%-25%,￥0-1000,
35,俺不中嘞“一个被窝睡不出两种人”诚不欺我,网瘾少女苏苏,2025-10-25,10万以上,5%-15%,15%-25%,￥1000-5000,
36,这对吗,西西的奇思妙想,2025-10-27,10万以上,0-5%,15%-25%,￥0-1000,
37,男朋友让我换个游戏玩，这个看了一个月😅,网瘾少女苏苏,2025-10-25,10万以上,5%-15%,15%-25%,￥1000-5000,
38,【聊斋兰若寺】鲁姑娘眼神都清澈了,伊旗影视城,2025-10-24,10万以上,0-5%,0-5%,￥0-1000,
39,看我不爽就对了，看我爽了还得了,菜菜的社交心法,2025-11-10,10万以上,0-5%,25%-50%,￥0-1000,
40,2700粉福 0.52带走35支平铺笔刷,十七张张,2025-11-07,10万以上,0-5%,15%-25%,￥0-1000,
41,天赋的本质是你做这件事情比其他事情更快乐,西西的奇思妙想,2025-10-30,10万以上,0-5%,15%-25%,￥0-1000,
42,应该很少有人满级天赋吧？,爱多工作室,2025-10-19,10万以上,5%-15%,15%-25%,￥1000-5000,
43,我好像真的没有一点天赋,西西的奇思妙想,2025-11-04,10万以上,0-5%,15%-25%,￥0-1000,
44,没有人知道我们两个是怎么玩到一起的,菜菜的社交心法,2025-11-10,10万以上,0-5%,25%-50%,￥0-1000,
45,-,身心疗愈心理社,2025-11-09,10万以上,0-5%,15%-25%,￥0-1000,
46,原来能领这么多潮流纤维呀！,林很困,2025-10-25,7万-10万,0-5%,0-5%,￥1000-5000,
47,🌸小乔丁香结限时返场｜温柔系皮肤yyds！,小乔丁香结,2025-11-05,7万-10万,0-5%,5%-15%,￥0-1000,
48,谁懂啊这张图简直是我的压力扫描仪，把,心理疗愈站,2025-11-12,7万-10万,0-5%,15%-25%,￥0-1000,
49,不同等级抑郁症的表现,春树wrc,2025-10-15,7万-10万,0-5%,15%-25%,￥0-1000,
50,没招了 太好玩了 坐高铁4个小时都在玩😅,网瘾少女苏苏,2025-10-15,7万-10万,0-5%,15%-25%,￥1000-5000,
