排名,笔记标题,账号昵称,发布时间,笔记阅读数,笔记商品点击率,笔记支付转化率,笔记成交金额（元）
1,女生有没有抑郁，看她房间就知道了,身心疗愈灯塔,2025-11-13,10万以上,0-5%,5%-15%,￥0-1000
2,🔥压力测试｜测测你是不是心理压力大？,身心研究站,2025-11-10,10万以上,0-5%,25%-50%,￥0-1000
3,5分钟测试你的抑郁焦虑状态！,Lullaby心理疗愈,2025-10-19,10万以上,0-5%,15%-25%,￥1000-5000
4,压抑和开放这一块,小暖心灵疗愈室,2025-11-10,10万以上,0-5%,25%-50%,￥1000-5000
5,这里的每一题 好像都会让我停下来深思,菜菜的社交心法,2025-11-10,10万以上,0-5%,25%-50%,￥1000-5000
6,第一次感觉自己原来那么冷,元宝家的,2025-11-02,10万以上,0-5%,25%-50%,￥1000-5000
7,3分钟测试你的动物塑!,菜菜的社交心法,2025-11-08,10万以上,0-5%,25%-50%,￥1000-5000
8,🔥心理压力测试｜你压力是不是有点大？,心理研究站,2025-11-14,10万以上,0-5%,15%-25%,￥0-1000
9,最容易被cue的16mbti刻板表情,寻己,2025-10-27,10万以上,0-5%,25%-50%,￥0-1000
10,我珍惜你的方式错了吗,元宝家的,2025-11-02,10万以上,0-5%,25%-50%,￥0-1000
11,ENFP越想活得热烈，越被现实浇灭,心晴,2025-11-09,10万以上,0-5%,50%-70%,￥1000-5000
12,原来抑郁早就开始了，以为只是不开心,心理扫码站,2025-10-27,10万以上,0-5%,25%-50%,￥0-1000
13,🔥心理压力测试 | 看看你压力大不大?,身心疗愈心理 研究站,2025-11-08,10万以上,0-5%,15%-25%,￥0-1000
14,怎么选都是痛,元宝家的,2025-11-09,10万以上,0-5%,25%-50%,￥0-1000
15,你最不能容忍的背叛是什么？,拾夏日记,2025-11-11,10万以上,0-5%,25%-50%,￥0-1000
16,和你们占有欲低的人没什么好讲的,元宝家的,2025-11-08,10万以上,0-5%,25%-50%,￥1000-5000
17,我实在是没忍住｜动物塑,心理疗愈研究所测试,2025-11-11,10万以上,0-5%,25%-50%,￥0-1000
18,如果世界是一片漆黑的森林，你选择成为？,小西情绪站,2025-11-07,10万以上,0-5%,25%-50%,￥0-1000
19,我们高喊无爱者自由…,心晴,2025-11-11,10万以上,0-5%,50%-70%,￥1000-5000
20,我把天赋当废柴用了20年,西西的奇思妙想,2025-11-09,10万以上,0-5%,15%-25%,￥1000-5000
21,一定要在新手保护期内完成社会化,野生小薯条,2025-11-08,10万以上,0-5%,15%-25%,1万-5万
